"";"nombre";"comuna";"calle";"clase";"lon";"lat"
"176";"1 Comisaría Rancagua";"Rancagua";"Avenida Libertador General José de San Martín";"Comisaría";-71,5425863;-70,7353505
"177";"Tenencia Carretera Valparaíso";"Valparaíso";"Ruta 68";"Tenencia";-71,5425863;-70,7353505
"178";"11 Comisaría Lo Espejo";NA;NA;"Comisaría";-71,5425863;-70,7353505
"179";"Retén Viluco";"Buin";"Cruce Ruta 5 - Paine - Carampangue - Cruce G-40";"Retén";-71,5425863;-70,7353505
"180";"31 Comisaría San Ramón";"San Ramón";"Vicuña Mackenna";"Comisaría";-71,5425863;-70,7353505
"181";"Tenencia Parque Metropolitano";"Providencia";"Rafael Elizalde";"Tenencia";-71,5425863;-70,7353505
"182";"Subcomisaría Villa Moderna";NA;"Coronel Alvarado";"Subcomisaría";-71,5425863;-70,7353505
"183";"63 Comisaría Curacaví";"Curacaví";"Avenida Ambrosio O'Higgins";"Comisaría";-71,5425863;-70,7353505
"184";"7 Comisaría Renca";"Renca";"Blanco Encalada";"Comisaría";-71,5425863;-70,7353505
"185";"Comisaría Barrio Italiano";NA;NA;"Comisaría";-71,5425863;-70,7353505
"186";"Retén Cabo 1 Juan Carlos Silva Toro";"Valparaíso";"Avenida Cabritería Norte";"Retén";-71,5425863;-70,7353505
"187";"6 Comisaría Villa Alemana";"Villa Alemana";"Arturo Prat";"Comisaría";-71,5425863;-70,7353505
"188";"8va comisaría de Colina";NA;NA;"Comisaría";-71,5425863;-70,7353505
"189";"2 Comisaría Quilpué";"Quilpué";"Avenida Alcalde Subercaseaux";"Comisaría";-71,5425863;-70,7353505
"190";"Subcomisaria Peñalolén";"Peñalolen";"Avenida Los Presidentes";"Subcomisaría";-71,5425863;-70,7353505
"191";"Subcomisaría El Belloto";NA;NA;"Subcomisaría";-71,5425863;-70,7353505
"192";"52 Comisaria Rinconada de Maipú";"Maipú";"Avenida Cuatro Poniente";"Comisaría";-71,5425863;-70,7353505
"193";"Retén Palacio Presidencial";"Viña del Mar";"Callao";"Retén";-71,5425863;-70,7353505
"194";"49 Comisaría Quilicura";"Quilicura";"Cabo1° Carlos Cuevas Olmos";"Comisaría";-71,5425863;-70,7353505
